Business ID,Name,Ratings,Pricing,Category,Distance_From_Venue,Address,City,State,Latitude,Longitude
xJROCrzWYx9wlhgyh8lZiQ,Clementine,4.6,$$,Cafes,43.41983036479357,123 Princess Street,Winnipeg,MB,49.89897,-97.1414099
CTOVCg05GHqHj5yci5urjw,Chosabi,4.3,$$,Asian Fusion,71.51973131369745,100 King Street,Winnipeg,MB,49.898053691954,-97.14141443425034
ULp49bE_EMl2Wy5r-U4UMg,King's Head Pub,3.8,$$,Pubs,60.83039299792185,120 King Street,Winnipeg,MB,49.8988299,-97.141
MdtaPcF_FTlpVG6eQuD0Fw,King + Bannatyne,4.0,$$,Sandwiches,59.089038892672264,100 King Street,Winnipeg,MB,49.89820722622439,-97.14133689679352
hLHNGhuo-yxVT-j6zxiYVw,Smoke's Poutinerie,3.7,$,Fast Food,122.43934148026145,131 Albert Street,Winnipeg,MB,49.8984874415572,-97.1401086001917
l_7XEKBzvdiZ4Sxh3ZaFZA,Yellow Dog Tavern,3.8,$$,Pubs,314.00242471987616,386 Donald Street,Winnipeg,MB,49.8961947,-97.1441578
_aQz-UbQsPW1RxwQoKLQiQ,Across the Board Game Cafe,4.1,$$,Cafes,163.09974856163575,211 Bannatyne Avenue,Winnipeg,MB,49.8981427,-97.1396617
s_6EtE1eAKtROFU4mxz-Cg,Blufish Japanese Restaurant,3.7,$$,Japanese,300.7482339851721,179 Bannatyne Avenue,Winnipeg,MB,49.89798,-97.1375
jcNuva_JRgoR1McxgKSfGQ,Amsterdam Tea Room,4.8,$,Tea Rooms,141.86311924826003,103 - 211 Bannatyne Avenue,Winnipeg,MB,49.8979906585777,-97.1401015822785
oy3ol7ycbe4n2h2x2ehZOg,Parlour Coffee,4.4,$,Coffee & Tea,213.62891156815843,468 Main Street,Winnipeg,MB,49.8976132630116,-97.1392859880084
MEZe4Ocb4WB1xbMQ8izzXw,Bronuts,4.0,$$,Coffee & Tea,98.32045170784151,3-100 King Street,Winnipeg,MB,49.8979902127305,-97.1408809432705
7X6eCobUA2bNDBusEbnKZg,The Merchant Kitchen,4.1,$$,Cocktail Bars,513.0675729746431,314 Donald Street,Winnipeg,MB,49.893837,-97.1438065
ezBd4SvOzCGaGmmRpZyJcg,Browns Socialhouse Portage,4.2,Information not available,Pubs,557.2132462516861,311 Portage Avenue,Winnipeg,MB,49.893896,-97.14396
FF3naCZjrx3fDkb8JHM47g,Corrientes Argentine Pizzeria,3.9,$$,Pizza,431.2027360200658,137 Bannatyne Avenue,Winnipeg,MB,49.89769,-97.13581
q3ihRBbNoXCgXPw_exDK9A,Shawarma Khan,3.7,$$,Lebanese,206.15663131572816,225 McDermot Street,Winnipeg,MB,49.8972893,-97.1399765
ry27oAoVXY7qA15UJtXGfQ,Stella's Plug In,3.9,$$,Breakfast & Brunch,1149.0969331917513,460 Portage Avenue,Winnipeg,MB,49.8905339,-97.1517362
fyl9CF_SoNWoWI0zwE1faw,Jane's,5.0,$$$,Canadian (New),195.3298049294238,504 Main Street,Winnipeg,MB,49.898922,-97.1392288
j_Pxu6FbC6EcRdEUVV1Tyg,Kevin's Bistro,4.1,Information not available,Comfort Food,425.2180051776315,141 Bannatyne Avenue,Winnipeg,MB,49.89775,-97.13601
veeI8Kx2kAeQ8w-dNuUDoQ,Bridgette Bar,4.4,$$$,Bars,286.84151267162844,739 10 Avenue SW,Calgary,AB,51.04365,-114.07869
U5VZVayBGdrBDsaJFVY8Qg,Last Best Brewing & Distilling,4.0,$$,Canadian (New),31.549336093766254,607 11 Avenue SW,Calgary,AB,51.0424777,-114.074573
vzFYAYhSnJdE3nhvjTmKMw,Orchard,4.5,Information not available,Mediterranean,168.5826599404076,134 - 620 10 Avenue SW,Calgary,AB,51.0437959,-114.0758715
SKhV8mF40RcsGrJjkuEwvw,Ten Foot Henry,4.6,$$$,Canadian (New),648.271581355951,1209-1st Street South West,Calgary,AB,51.041083366219205,-114.06598360272451
EKI6veiozSUZ6Ho7L5hfRg,Redheads Japa Cafe,4.0,$$,Cafes,103.52848036396085,638 11th Avenue SW,Calgary,AB,51.04297824802067,-114.0761874782032
iXmFhJtk2Qg2xkh7mz15oQ,Rodney's Oyster House Calgary,3.9,$$$,Seafood,282.72579738629264,355 10th Avenue SW,Calgary,AB,51.0433295,-114.0691185
mLlJY0Pd6IzhnahKNYqrQQ,Hudsons Canada's Pub,3.4,$$,Chicken Wings,100.67984392677421,1201 5th Street SW,Calgary,AB,51.0415933272873,-114.074396860616
smrnVFT6UvNTPGqThtoYhA,Hy's Steakhouse & Cocktail Bar,4.4,$$$$,Steakhouses,493.53970135499935,8th Avenue and 3rd Street,Calgary,AB,51.0459732605428,-114.070798493922
4MlVKZ1ZbVA__MA-7D3gYQ,Vintage Chophouse and Tavern,4.1,$$$,Steakhouses,464.675043392973,320 11 Avenue SW,Calgary,AB,51.042678,-114.068379
i5AN0dqzKGQ4z7Q76xpbNA,CRAFT Beer Market,3.6,$$,Canadian (New),330.1533181358779,345 10th Avenue SW,Calgary,AB,51.043449,-114.070587
S2uaTRS_3DOjrgaZogrQZg,Posto Pizzeria and Bar,4.4,$$,Pizza,453.3460130997169,1014 8 St SW,Calgary,AB,51.0435316,-114.0812472
oJNxIs6jtzwdAzsoTkUPWQ,Regrub Burger Bar,3.1,$$,Salad,43.43024367662409,625 11th Avenue SW,Calgary,AB,51.04242,-114.07566
vVGbjVo4V0gjze4dsSI7rA,Pampa Brazilian Steakhouse,3.8,$$$,Brazilian,192.39651928299128,521 10 Avenue SW,Calgary,AB,51.0433890487146,-114.072740779222
YpoIDLyRGhgciExGAHRQcw,Native Tongues Taqueria,4.1,$$,Mexican,533.0711041256397,235 12 Avenue SW,Calgary,AB,51.041401,-114.0675588
GGxnlrfvWy7LFvjN5z_z3w,UNA Pizza + Wine- 17th,4.2,$$,Pizza,495.3446337710808,618 17th Avenue SW,Calgary,AB,51.037965657064,-114.07544696236
kmOeRAvOL1oR6Z-4Ggdx6w,Charcut Roast House,4.0,$$$,Steakhouses,853.6760918527403,101-899 Centre Street S,Calgary,AB,51.0447273741773,-114.063369728203
bLHkYNWd1ekJZVddTkekeg,Cucina,4.2,$$$,Italian,415.08425075467187,515 8th Avenue SW,Calgary,AB,51.04571209173256,-114.07223686864776
LSMeZ0lITrnxaz7LGCaeUQ,LOCAL Public Eatery 8th Ave,3.9,$$,Canadian (New),588.3613838818379,310 8th Avenue,Calgary,AB,51.0458265,-114.0685829
l8zTN5ggqDj_5n9leLz-ww,Shawarma House,4.4,$,Mediterranean,125.64900959711109,555 11th Avenue SW,Calgary,AB,51.042328,-114.073431
